Targeted Skill (Domains),Subskills,Basic Activity Type(s),Description,Unit(s),Stimulus,Child-to-Device (input) Modality,Device-to-Child (output) Modality,Game Mechanics Examples,,,Sample Items ,Item notes,User Control/Interface,Best Platform
,,Tap,Child taps rhyming syllables ,Syllable,Visual,Tactile,Auditory ,"4 speaking stones say the words ""cap"" ""cat"" ""nap"" ""pan"" when touched. Player must drag the rhyming stones into their rhyme bag. ",, ,"[cap, cat, nap, pan] [wish, dish, fish, chip] [slam, cram, slip, slot] [table, cable, nation, belly] [wiggle, squiggle, tickle, shuffle]",Use real words, ,
,,,Child taps sounds in a sequence.,Phoneme,Visual,Tactile,Auditory ,3 speaking stones say the phonemes /k/ /p/ /f/ when touched. Player is given oral instructions to tap the following sequence: /p/ /p/ /k/ /f/,, ,[/k/ /p/ /f/ -> /p/ /p/ /k/ /f/] [/a/ /u/ /o/ -> /u/ /u/ /o/] [/oo/ /o/ /ee/ -> /oo/ /o/ /oo/ /ee/] [/t/ /m/ /a/ -> /m/ /a/ /t/] ,"Can be non-word sequence, nonsense word sequences, or real word sequences", ,
,,Tap,Child hears multisyllable word. 2. Child taps the number of syllables. ,Syllable,Auditory,Tactile,Auditory ,"Hidden doorway whispers the code ""enfogment"". Player must tap the number of syllables in the word (3). ",, ,"smaggle (2), shneak (1), discrete (2), misdirection (4), invisible (4), intentionally (5) ",Use real or nonsense words, ,
,,,Child hears single syllable word. 2. Child taps the number of sounds. ,Phoneme,Auditory,Tactile,Auditory ,"Magical lock whispers the word ""hid"". Player must tap the number of phonemes (3).",, ,"in (2), shut (3), locked (4), kept (4), stashed (5)",Use real words, ,
,Recognition,"Hear, Say",Child hears multiple syllables spoken one at a time. Child blends them together. ,Syllable,Auditory,Speech,Auditory ,"Two-way gramophone plays skipping syllables: /oat/ (pause) /meal/. Player must say syllables together in succession (""oatmeal""). ",, ,"oatmeal, backyard, subject, unless, subjecting, recording, dismissive, unwittingly",Use real words,   ,
,,"Hear, Say",Child hears multiple phonemes spoken one at at time. Child blends them together. ,Phoneme-Word,Auditory,Speech,Auditory ,"Two-way gramophone plays skipping sounds: /k/ (pause) /a/ (pause) /t/. Player must say sounds together in succession (""cat""). ",, ,"up, if, can, shun, clip, smile, sneak, pound, sleeps",Use real words, ,
,,"Hear, Tap & Say",Child hears multisyllable word. 2. Child taps space representing first syllable and speaks syllable. 3. Child taps space representing next syllable and speaks syllabe. (and so on). ,Word-Syllable,Auditory ,"Tactile, Speech",Auditory ,"Glowing jewels on a crown speak out the word ""bedazzle"". Player must tap first jewel and say ""be"", then tap second jewel and say ""daz"", then tap final jewel and say ""zle"". ",, ,,Use real or nonsense words, ,
,,"Hear, Tap & Say",Child hears single syllable word. 2. Child taps space representing first sound and speaks sound. 3. Child taps space representing next sound and speaks sound. (and so on). ,Word-Phoneme,Auditory ,"Tactile, Speech",Auditory ,"Glowing links on a chain speak out the word ""stash"". Player must tap first link and say /s/, then tap second link and say /t/, then tap third link and say /a/, then tap final link and say /sh/. ",, ,,, ,
,Manipulation ,"Hear, See, Say",Child hears single syllable word. Child sees visual modification representing phoneme deletion. Child says new word. ,Word,"Auditory, Visual",Speech,"Auditory, Visual","Glowing links on a chain speak out the word ""slab"". The first chain falls off. Player must speak new word (""lab""). ",, ,"slab-> lab, cat->at, bent->bet, sharks->shark, snaps->naps","Use real words to start, deletions can be nonsense words", ,
,,"Hear, See, Say",Child hears single syllable word. Child sees visual modification representing phoneme addition. Child says new word. ,Word,"Auditory, Visual",Speech,"Auditory, Visual","Glowing links on a chain speak out the word ""cup"". A new chain making the /s/ sound is added after the /u/. Player must speak new word (""cusp""). ",, ,"cup -> cusp, fan -> fans, ban -> band, snack->snacks, sale -> scale","Use real words to start, additions can be nonsense words", ,
,,"Hear, See, Say",Child hears single syllable word. Child sees visual modification representing phoneme transposition. Child says new word. ,Word,"Auditory, Visual",Speech,"Auditory, Visual",see above,, ,,, ,
Alphabetic Principle (Integrating Phonological Awarenes with Decoding),Detection,"Hear, Say, See",1. Child hears sound. 2. Child says sound. 3. Child sees said letter. ,Sound-Letter,Auditory,Auditory,Visual,,, ,,, ,
,Recognition,"Hear, See & Tap",1. Child hears sound. 2. Child sees letters. 3. Child taps letter associated with said sound.,Sound-Letter,"Auditory, Visual",Tactile ,Visual,"4 gems each with an inscribed letter (g, b, t, k). A voice speaks /b/. Child prompted to tap the gem with 'g'. ",, ,,All letters except q needs to be qu, ,
,Expression ,"Hear, Write ",1. Child hears sound. 2. Child writes letter. ,Sound-Letter,Auditory,Tactile,Visual,The fortress is under a sonic attack. Various sound missles can be stopped by writing the letters representing them. A soundmissle of a single phoneme /s/ grows louder until player writes the player writes 's'. ,, ,,All phonemes , ,
,,"Hear, Write & Say",1. Child hears sound. 2. Child writes letter of said sound and says letter name. ,Sound-Letter,Auditory,"Tactile, Speech",Visual,"Same as above, but says letter while writing (maybe making the spell more powerful? killing multiple missles?)",, ,,, ,
,,"Say, See",1. Child says sound. 2. Child sees said letter. ,Sound-Letter,NA,Speech,Visual,,, ,,, ,
,,"Say, See, Tap",1. Child prompted to say any sound. 2. Multiple letters appear. 3. Child taps letter associated with said sound. ,Sound-Letter,NA,"Speech, Tactile",Visual,,,,,,,
,,"See, Say ",1. Child sees letter. 2. Child says sound. ,Letter-Sound,Visual,Speech,Visual ,,,,,,,
,,"See, Trace & Say, Say ",1. Child sees letter. 2. Child traces letter and says letter name. 3. Child says letter sound.,Letter-Sound,Visual,"Tactile, Speech",Visual,,,,,,,
,,"See, Write & Say, Say",1. Child sees letter and letter disappears. 2. Child writes letter from memory and says name. 3. Child says letter sound. ,Letter-Sound,Visual,"Tactile, Speech",Visual,,,,,,,
Decoding ,Letter by Letter ,"See, Trace & Say, Say ","1. Child sees word. 2. Child traces letters and says letter names, one at a time. 3. Child says word.",Letters-Word,Visual,"Tactile, Speech",Visual,,,,,,,
,,"See, Tap & Say, Swipe & Say",1. Child sees word. 2. Child taps letters and says associated sounds. 3. Child swipes word to blend sounds.,Letters-Word,Visual,"Tactile, Speech",Visual,,,,,,,
,,"See, Tap & Say, Swipe & Say",1. Child sees word. 2. Letters vanish. 3. Child taps spaces and says associated sounds. 4. Child swipes word to blend sounds.,Letters-Word,Visual,"Tactile, Speech",Visual,,,,,,,
,,"See, Trace, & Say",1. Child see words. 2. Child traces letter. 3. Letters vanish. 4. Child reads word. ,Letters-Word,Visual,"Tactile, Speech",Visual,"A spellbook contains a set of words of valuable items. The player is prompted to trace the letters and they vanish after they are traced. After they are traced, player reads the word that disappeared to conjure up an item. ",, ,"Gem, Coins, Shrine, Cloak, Storb",Use real words or fake words that refer to items built into narrative,,
,,See & Say,1. Child sees word. 2. Child reads word.,Letters-Word,Visual,Speech,Visual,,,,,,,
,Syllable by Syllable,"See, Swipe, Trace, Say, Trace, Say, Say",1. Child sees word. 2. Child breaks syllables. 3. Child traces letter in syllable. 4. Child reads syllable. 5. Child traces letter in other syllable. 6. Child reads syllable. 7. Child blends syllables. ,Syllables-Word,Visual,"Tactile, Speech",Visual,,,,,,,
,,"See, Swipe, Say",1. Child sees word. 2. Child breaks syllables. 3. Child reads word. ,Syllables-Word,Visual,"Tactile, Speech",Visual,,,,,,,
,Syllable by Syllable,"See, Swipe, Write & Say, Say",1. Child sees word. 2. Child splits syllables. 3. Child writes letters and says letter names. 4. Child reads syllables. 5. Child reads word.,Letter-Syllable-Word,Visual,"Tactile, Auditory",Visual,,,,,,,
,,"See, Swipe, Say",1. Child sees word. 2. Child splits syllables. 3. Child reads syllables. 4. Child reads words.,Syllable-Word,Visual,"Tactile, Auditory",Visual,,,,,,,
Encoding ,Letter by Letter ,"See, Say ",1. Child sees word 2. Child says one letter at a time. ,Letters-Word,Visual,Auditory,Visual,,,,,,,
,,"See & Hear, Say, Drag",1. Child sees and hears a word. 2. Child says a sound. 3. Letter animates in response. 4. Child drags the letter away from word. ,Word-Sounds-Letters,Visual,"Auditory, Tactile",Visual,,,,,,,
,,"See & Hear, Hear, Write",1. Child sees word and hears word. 2. Child hears first sound. 3. Child writes first sound. 4. Child hears second sound. 5. Child writes second sound. ,Word-Letters,"Visual, Auditory",Tactile,Visual,,,,,,,
,,"Hear, Write",1. Child hears a word. 2. Child writes letters. ,Word-Letters,Auditory ,Tactile ,Auditory ,Player hears an item calling. Player spells the letters of the item to summon it. ,,,"Moth, Axe, Broom, Horse, Snake, Butterfly",Use real words or fake words that refer to items built into narrative,,
